date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:21	231179/231179	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Feb%202023%2016:22:55%20GMT	https://cursosfree7.blogspot.com/	C:/Meus%20Sites/s/cursosfree7.blogspot.com/index.html	(from )
14:04:21	128/128	---MCZ	200	added ('OK')	text/plain	date:Sat,%2011%20Feb%202023%2016:22:55%20GMT	https://cursosfree7.blogspot.com/robots.txt		(from )
14:04:21	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Sat,%2011%20Feb%202023%2016:22:55%20GMT	https://cursosfree7.blogspot.com/favicon.ico	C:/Meus%20Sites/s/cursosfree7.blogspot.com/favicon.ico	(from https://cursosfree7.blogspot.com/)
14:04:22	25098/25098	---M--	200	added ('OK')	image/jpeg	etag:%22v367e%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgBKby9xQndM6TzgmwCNfwdcM49p4BdKEPsXx28qXVPW8Yxd_M6qyygtN8U9mm0YwId09gKcxZnt1ipN-VS-vXm0HqBfHe8huNBseZTD0QhFLRG46S_4-mYBmBQykHf4cu-OybjGKH0HQ6dPMJOewEy2G2EyFkUVKnaiWjV5aRCufDWzUwQt86VqAqznQ/s320/photo_2021-12-31_00-38-43.jpg	C:/Meus%20Sites/s/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgBKby9xQndM6TzgmwCNfwdcM49p4BdKEPsXx28qXV/s320/photo_2021-12-31_00-38-43.jpg	(from https://cursosfree7.blogspot.com/)
14:04:22	55183/55183	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-d78f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.8.2/css/all.min.css	C:/Meus%20Sites/s/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.8.2/css/all.min.css	(from https://cursosfree7.blogspot.com/)
14:04:23	3725/3725	---M--	200	added ('OK')	image/png	etag:%22v76c%22	https://4.bp.blogspot.com/-O3EpVMWcoKw/WxY6-6I4--I/AAAAAAAAB2s/KzC0FqUQtkMdw7VzT6oOR_8vbZO6EJc-ACK4BGAYYCw/w680/nth.png	C:/Meus%20Sites/s/4.bp.blogspot.com/-O3EpVMWcoKw/WxY6-6I4--I/AAAAAAAAB2s/KzC0FqUQtkMdw7VzT6oOR_8vbZO6EJc-ACK4BGAYYCw/w680/nth.png	(from https://cursosfree7.blogspot.com/)
14:04:23	213/213	---M--	302	error ('Found')	text/html	date:Sat,%2011%20Feb%202023%2017:04:23%20GMT	http://commentid.com/bloggerfonts.js	C:/Meus%20Sites/s/commentid.com/bloggerfonts.4.delayed	(from https://cursosfree7.blogspot.com/)
14:04:24	230627/230627	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Feb%202023%2016:22:55%20GMT	https://cursosfree7.blogspot.com/search	C:/Meus%20Sites/s/cursosfree7.blogspot.com/search.html	(from https://cursosfree7.blogspot.com/)
14:04:25	236646/236646	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Feb%202023%2016:22:55%20GMT	https://cursosfree7.blogspot.com/2023/02/curso-de-dropship-f15d-luciano-augusto.html	C:/Meus%20Sites/s/cursosfree7.blogspot.com/2023/02/curso-de-dropship-f15d-luciano-augusto.html	(from https://cursosfree7.blogspot.com/)
14:04:26	4072/4072	---M--	200	added ('OK')	image/jpeg	etag:%22v367e%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgBKby9xQndM6TzgmwCNfwdcM49p4BdKEPsXx28qXVPW8Yxd_M6qyygtN8U9mm0YwId09gKcxZnt1ipN-VS-vXm0HqBfHe8huNBseZTD0QhFLRG46S_4-mYBmBQykHf4cu-OybjGKH0HQ6dPMJOewEy2G2EyFkUVKnaiWjV5aRCufDWzUwQt86VqAqznQ/w72-h72-p-k-no-nu/photo_2021-12-31_00-38-43.jpg	C:/Meus%20Sites/s/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgBKby9xQndM6TzgmwCNfwdcM49p4BdKEPsXx28qXV/w72-h72-p-k-no-nu/photo_2021-12-31_00-38-43.jpg	(from https://cursosfree7.blogspot.com/)
